Vine snake	Lonely hugger	Climbing plant	No
Curupira	Brazilian folklore	Backwards feet	Yes
Weeping willow	Tear collector	Misplaced sympathy	No
Mushroom giant	Walking fungus	Spore drift	No
Persephone	Spring incarnate	Bloom miracle	Yes
Cog	Clockwork	Spinning gear	No
Bound swords	Refused violence	Knight protector	No
Hephaestus	First smelting	Transformation	Yes
Rust spirit	Entropy	Decay	No
Rust dragon	Fallen empires	Graveyard	Yes
Scrap heap	Tin Man	Self-assembly	Yes
Frankenstein	Scrap golem	Junkyard king	Yes
Dragonfly	Steel razor wings	Insect blade	No
Church bell	Tocsin warning	Bronze guardian	No
Chain	Slinky	Shapeshifter	No
Dragon	Mirror	Vanity	Yes
Sunrise	Mote of light	Solar fragment	No
Veiled spirit	Golden halo	Condensed light	No
Phoenix	Aurora rings	Prismatic feathers	Yes
Akashic records	Ghost thought	Forgotten knowledge	Yes
Coin fountain	Wish granter	Naive spirit	No
Wish granter	Fairy godmother	Earned reward	Yes
Mnemosyne	Memory spirit	Photo album	Yes
Eureka moment	Muse	Inspiration spirit	Yes
Muse	Creative spark	Inspiration	Yes
Eternal witness	Time keeper	Winged messenger	No
Repression	Shadow self	Forgotten thought	No
Mourning fish	Crystallized tears	Loneliness	No
Psychopomp	Final witness	Last moments	Yes
Shadow	Hidden lurker	Shy creature	No
SCP-173	Quantum observer	Statue	No
Panther	Twilight predator	Stealth hunter	No
Boogeyman	Childhood fear	Closet monster	Yes
Black cat	Shadow	Stuck spirit	No
Sphinx	Hidden lore	Owl	Yes
Solar eclipse	Liminal being	Shadow phase	No
Sandman	Dream king	Balance keeper	Yes
First flower	Lotus	Eternal bloom	No
Solar fragment	Living sun	Helios	Yes
Absolute zero	Heat death	Frozen atoms	No
Tempest king	Hurricane	Legendary storm	No
Storyteller spirit	Origin of myth	Dreaming beast	Yes
Jörmungandr	Ouroboros	Norse mythology	Yes
Cosmic dragon	Star eater	Dark matter	Yes
First consciousness	Primordial void	Awakening	No
Phoenix rebirth	Apocalypse flame	Cracking earth	Yes
Liminal flower	Life-death threshold	Two-tone petals	No
Garden of Eden	World tree seed	Tree of life	Yes
Primordial waters	Genesis myth	Single droplet	Yes
Raijū evolution	Lightning afterimage	Storm markings	Yes
Raijū	Thunder weasel	Lightning afterimage	Yes
Raijū	Japanese mythology	Thunder weasel	Yes
Ammit	Egyptian mythology	Heart-weighing	Yes
Púca	Celtic folklore	Hare	Yes
Cherufe	Mapuche folklore	Volcanic crab	Yes
Prima materia	Alchemy	Primordial potential	Yes
Nihilism	Forgotten darkness	Absence	No
Orpheus	Music of the spheres	First voice	Yes
Cosmic egg	Creation myth	Folded wings	Yes
Namazu	Japanese earthquake catfish	Seismic waves	Yes
Talos	Bronze automaton	Greek myth	Yes
Fūjin	Japanese mythology	Wind sack	Yes
Yuki-onna	Snowdrift	Bumbling spirit	Yes
